Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
660,imr,COUNTRY,PER,AMR,YEAR,Americas,DHSMICSGEOREGION,DHSMICSGEOREGION_PERDHS201304,2013,,,,,DATASOURCE,DATASOURCE_EQ_DHS,14.8 [4.3-25.2],14.7656,4.2829,25.24829,,2022-05-26T14:41:58+02:00,2013,2013-01-01T00:00:00+01:00,2013-12-31T00:00:00+01:00
1326,imr,COUNTRY,NER,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_NERDHS201202,2012,,,,,DATASOURCE,DATASOURCE_EQ_DHS,17.5 [8.7-26.3],17.51638,8.7325,26.30025,,2022-05-26T14:36:58+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
1814,imr,COUNTRY,IDN,SEAR,YEAR,South-East Asia,DHSMICSGEOREGION,DHSMICSGEOREGION_IDNDHS199426,1994,,,,,DATASOURCE,DATASOURCE_EQ_DHS,68.0 [51.2-84.8],67.99654,51.18017,84.8129,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death,2022-05-26T14:27:38+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
2370,imr,COUNTRY,SOM,EMR,YEAR,Eastern Mediterranean,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE10,2006,,,,,DATASOURCE,DATASOURCE_EQ_MICS,96.2 [76.3-116.0],96.16145,76.33382,115.98909,,2022-05-26T12:31:56+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2546,imr,COUNTRY,TCD,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_TCDDHS199601,1996,,,,,DATASOURCE,DATASOURCE_EQ_DHS,73.3 [37.4-109.2],73.27987,37.36687,109.19287,,2022-05-26T14:17:06+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
2858,imr,COUNTRY,PER,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE09,2019,,,,,DATASOURCE,DATASOURCE_EQ_DHS,7.5 [3.6-11.4],7.47685,3.59046,11.36324,,2022-05-26T12:27:19+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
3184,imr,COUNTRY,TZA,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,2010,,,,,DATASOURCE,DATASOURCE_EQ_DHS,52.2 [38.7-65.7],52.22568,38.70195,65.74942,,2022-05-26T12:36:54+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4873,imr,COUNTRY,BGD,SEAR,YEAR,South-East Asia,EDUCATIONLEVEL,EDUCATIONLEVEL_PRLM,2006,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T11:14:11+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
5517,imr,COUNTRY,SEN,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_SENDHS201704,2017,,,,,DATASOURCE,DATASOURCE_EQ_DHS,40.7 [30.0-51.3],40.65335,30.00507,51.30163,,2022-05-26T14:46:26+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
5567,imr,COUNTRY,SEN,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_SENDHS201701,2017,,,,,DATASOURCE,DATASOURCE_EQ_DHS,27.4 [16.7-38.2],27.44794,16.71657,38.17932,,2022-05-26T14:46:26+02:00,2017,2017-01-01T00:00:00+01:00,2017-12-31T00:00:00+01:00
